trip_id,rider_id,distance_km,duration_min,fare_amount,ride_date,surge_flag,hour,day_of_week,month,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type,traffic_level,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_Zone_1,zone_Zone_10,zone_Zone_2,zone_Zone_3,zone_Zone_4,zone_Zone_5,zone_Zone_6,zone_Zone_7,zone_Zone_8,zone_Zone_9,fare_log,distance_log,duration_sqrt,is_peak_hour,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,ride_frequency,avg_ride_distance,avg_ride_fare,days_since_signup,ride_cancellation_rate
T00001,R0037,11.83,74.59,104.88,2023-11-13,0,0,0,11,Zone_10,2440,1.54,35.4,Industrial,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,4.662306377358901,2.551786178627545,8.636550237218563,0,Aadhya Iyer,32,2,Ahmedabad,2020-11-21,489,6,3.36,High,0.15969325153374234,2.6884662576687117,2089,0.012269938650306749
T00002,R0104,3.86,35.59,40.48,2023-07-28,0,0,4,7,Zone_9,11037,1.83,56.1,Mixed,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3.7252113833613265,1.5810384379124023,5.965735495309862,0,Diya Gupta,52,1,Kolkata,2021-05-27,328,1,3.7,High,0.14234756097560977,2.3335060975609756,1902,0.003048780487804878
T00003,R0045,4.7,31.03,46.39,2024-01-14,0,0,6,1,Zone_8,4516,1.93,31.0,Business,1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3.858411235979497,1.7404661748405046,5.570457790882182,0,Saanvi Iyer,34,2,Ahmedabad,2023-07-12,100,16,4.88,Low,0.8753,15.298499999999999,1126,0.16
T00004,R0089,11.06,59.48,257.64,2023-12-13,0,0,2,12,Zone_2,6371,0.91,58.4,Residential,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,5.555437133417177,2.4898941912990393,7.712327793863536,0,Saanvi Reddy,48,2,Surat,2022-09-21,308,6,3.91,Medium,0.29165584415584417,4.595941558441559,1420,0.01948051948051948
T00005,R0003,7.28,67.59,72.74,2023-03-15,0,0,2,3,Zone_5,2590,1.31,43.9,Business,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,4.300545392805998,2.1138429683971687,8.221313763626833,0,Kavya Reddy,34,1,Pune,2023-05-04,45,9,3.76,Low,1.5040000000000002,21.593555555555557,1195,0.2
T00006,R0255,14.58,80.74,282.52,2024-02-10,0,0,5,2,Zone_2,6371,0.91,58.4,Residential,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,5.647282667416716,2.7459880404426023,8.985543945694106,0,Reyansh Sharma,37,0,Bengaluru,2021-07-06,475,42,3.12,High,0.15162105263157893,2.6573052631578946,1862,0.08842105263157894
T00007,R0224,4.48,40.07,58.38,2023-08-21,0,0,0,8,Zone_4,4038,2.46,48.2,Business,2.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4.083957469335614,1.7011051009599243,6.330086887239385,0,Ishaan Sharma,29,0,Ahmedabad,2020-08-04,200,1,4.31,Medium,0.20855,2.5707,2198,0.005
T00008,R0039,11.75,96.11,102.35,2024-03-10,0,0,6,3,Zone_3,12971,2.11,38.0,Business,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,4.638121286127777,2.545531271604435,9.803570778037969,0,Aadhya Iyer,24,1,Chennai,2023-11-18,190,14,4.2,Medium,0.17821052631578946,2.674,997,0.07368421052631578
T00009,R0223,9.71,66.61,175.75,2024-05-20,0,0,0,5,Zone_5,2590,1.31,43.9,Business,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,5.174736304776682,2.3711778844596574,8.161494961096281,0,Meera Ghosh,30,0,Surat,2019-11-29,158,10,4.04,Low,0.3569620253164557,6.248164556962026,2447,0.06329113924050633
T00010,R0236,7.37,51.09,98.34,2023-03-01,0,0,2,3,Zone_5,2590,1.31,43.9,Business,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,4.598548309679204,2.124653884501384,7.147726911403373,0,Arjun Gupta,28,1,Ahmedabad,2020-08-10,61,1,3.36,Low,0.8198360655737704,12.599016393442623,2192,0.01639344262295082
T00011,R0191,13.88,88.3,172.04,2023-09-09,0,0,5,9,Zone_10,2440,1.54,35.4,Industrial,1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,5.153522781644804,2.700018029404946,9.396807968666806,0,Meera Gupta,33,2,Surat,2020-08-14,87,6,4.56,Low,0.9559770114942528,15.24735632183908,2188,0.06896551724137931
T00012,R0199,11.4,64.9,139.35,2023-12-15,0,0,4,12,Zone_1,4921,2.43,30.9,Residential,2.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,4.9441393028078915,2.517696472610991,8.056053624449133,0,Aarav Das,29,1,Ahmedabad,2021-08-03,344,27,3.91,High,0.24752906976744188,4.652616279069767,1834,0.07848837209302326
T00013,R0248,2.98,18.82,37.95,2023-12-12,0,0,1,12,Zone_6,14627,0.54,37.6,Mixed,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3.6622787723167574,1.3812818192963463,4.338202392696772,0,Vivaan Ghosh,18,0,Chennai,2021-10-24,104,12,3.65,Low,0.5549999999999999,9.03519230769231,1752,0.11538461538461539
T00014,R0300,11.2,70.93,249.44,2024-08-10,0,0,5,8,Zone_2,6371,0.91,58.4,Residential,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,5.52321937087711,2.501435951739211,8.421995013059554,0,Saanvi Iyer,38,0,Kolkata,2023-07-08,291,7,3.67,Medium,0.1885910652920962,3.4253264604810996,1130,0.024054982817869417
T00015,R0270,14.87,91.83,265.53,2023-08-24,0,0,3,8,Zone_10,2440,1.54,35.4,Industrial,1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,5.585486807626805,2.7644305345383176,9.582797086446107,0,Aadhya Reddy,35,1,Hyderabad,2022-01-02,455,64,3.08,High,0.12975824175824174,2.420945054945055,1682,0.14065934065934066
T00016,R0216,7.35,63.51,145.73,2024-08-04,0,0,6,8,Zone_2,6371,0.91,58.4,Residential,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,4.988594163219376,2.122261538862764,7.969316156358712,0,Ishaan Ghosh,44,0,Chennai,2019-08-01,335,24,3.4,High,0.0884776119402985,1.4891940298507462,2567,0.07164179104477612
T00017,R0168,6.76,56.32,83.57,2023-12-03,0,0,6,12,Zone_3,12971,2.11,38.0,Business,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4.437579593794131,2.048982334195127,7.504665215717488,0,Diya Das,23,1,Pune,2019-10-08,471,74,4.03,High,0.0743524416135881,1.2087261146496815,2499,0.15711252653927812
T00018,R0126,4.65,39.61,69.81,2024-01-19,0,0,4,1,Zone_6,14627,0.54,37.6,Mixed,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4.260000233663683,1.7316555451583497,6.293647591023825,0,Diya Reddy,29,0,Surat,2022-09-25,411,20,3.65,High,0.08686131386861315,1.009537712895377,1416,0.04866180048661801
T00019,R0255,7.93,62.56,100.85,2023-05-26,0,0,4,5,Zone_1,4921,2.43,30.9,Residential,2.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,4.623501142672815,2.189416394888408,7.909487973314076,0,Reyansh Sharma,37,0,Bengaluru,2021-07-06,475,42,3.12,High,0.15162105263157893,2.6573052631578946,1862,0.08842105263157894
T00020,R0061,11.43,81.48,227.77,2023-06-19,0,0,0,6,Zone_2,6371,0.91,58.4,Residential,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,5.432717132027692,2.5201129055226197,9.026627277117406,0,Meera Reddy,25,1,Mumbai,2020-08-20,168,25,3.69,Medium,0.20517857142857143,3.5520238095238095,2182,0.1488095238095238
T00021,R0289,3.91,32.07,79.0,2024-08-15,0,0,3,8,Zone_4,4038,2.46,48.2,Business,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,4.382026634673881,1.5912739418064292,5.6630380539071075,0,Aarav Gupta,21,2,Chennai,2021-09-30,322,14,4.17,Medium,0.2053726708074534,3.8337888198757764,1776,0.043478260869565216
T00022,R0112,1.27,9.05,17.63,2024-03-28,0,0,3,3,Zone_10,2440,1.54,35.4,Industrial,1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2.924773184613497,0.8197798314933114,3.0083217912982647,0,Meera Nair,41,0,Delhi,2020-11-13,311,11,3.24,Medium,0.28787781350482317,3.6986173633440513,2097,0.03536977491961415
T00023,R0153,6.12,47.77,118.69,2024-02-26,0,0,0,2,Zone_3,12971,2.11,38.0,Business,2.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,4.784905066885279,1.9629077254238845,6.911584478250989,0,Aadhya Ghosh,20,1,Mumbai,2020-05-04,76,14,4.54,Low,0.3794736842105263,6.065131578947368,2290,0.18421052631578946
T00024,R0214,1.1,10.71,13.4,2023-01-10,0,0,1,1,Zone_3,12971,2.11,38.0,Business,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2.667228206581955,0.7419373447293773,3.2726136343907144,0,Aarav Kumar,20,0,Kolkata,2022-09-14,210,2,4.53,Medium,0.1940952380952381,3.2461428571428574,1427,0.009523809523809525
T00025,R0272,10.62,56.33,170.34,2023-01-15,0,0,6,1,Zone_2,6371,0.91,58.4,Residential,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,5.143649886535898,2.4527277514237653,7.505331438384317,0,Kavya Ghosh,21,1,Kolkata,2020-01-15,432,4,4.79,High,0.09326388888888888,1.6012962962962962,2400,0.009259259259259259
T00026,R0045,5.87,48.76,86.71,2024-02-14,0,0,2,2,Zone_3,12971,2.11,38.0,Business,2.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4.47403591796329,1.927164106234258,6.982836100038436,0,Saanvi Iyer,34,2,Ahmedabad,2023-07-12,100,16,4.88,Low,0.8753,15.298499999999999,1126,0.16
T00027,R0096,0.78,5.31,10.51,2023-01-12,0,0,3,1,Zone_9,11037,1.83,56.1,Mixed,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2.4432162227337915,0.5766133643039938,2.3043437243605824,0,Reyansh Das,40,0,Kolkata,2019-12-28,121,3,4.46,Low,0.2265289256198347,2.933471074380165,2418,0.024793388429752067
